,Tijdstempel,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,What is your stress level (0-100)?,"You can get 100 euros if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would deserve then? ",Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
0,4-5-2022 12:12:07,Artificial Intelligence,yes,0,mu,nee,female,neither,1998-05-02,0,no,0,5,888,23:00:00,coffee,sun
1,4-5-2022 12:12:07,Other,yes,0,mu,nee,male,fat,2000-02-29,0,yes,200,1,12,00:00:00,7777,8964
3,4-5-2022 12:12:09,Other,yes,0,unknown,nee,male,neither,1997-05-11,0,no,20,100,31,14:00:00,good food,no stress
4,4-5-2022 12:12:15,Artificial Intelligence,yes,1,mu,ja,male,fat,1997-10-03,0,no,2,100,86,07:20:00,Sunshine,Good Food
5,4-5-2022 12:12:20,Artificial Intelligence,no,unknown,sigma,unknown,female,fat,2022-04-28,0,no,48,1000,87,00:00:00,This lecture,Sun
6,4-5-2022 12:12:26,Artificial Intelligence,yes,0,unknown,nee,male,neither,1998-10-15,1,no,20,0.1,6,00:35:00,sunshine,happiness
7,4-5-2022 12:12:29,Artificial Intelligence,yes,0,unknown,ja,male,neither,2022-11-17,0,no,100,10,50,00:00:00,Rainy Day,Weekend
8,4-5-2022 12:12:29,Other,yes,0,mu,ja,male,neither,1995-04-16,0,no,20,100 / the number of people,42,23:00:00,Food,Relaxation
9,4-5-2022 12:12:29,Artificial Intelligence,no,0,mu,ja,female,fat,2000-07-21,5,yes,50,10,88,12:00:00,"sun, friends and wine","relaxing, watching a show, hockey"
11,4-5-2022 12:12:32,Other,yes,1,unknown,ja,female,fat,2022-03-05,0,no,50,0.1,56,00:00:00,sun,holiday
13,4-5-2022 12:12:36,Other,no,0,mu,nee,male,fat,1982-10-19,0,yes,65,100,8,00:00:00,Good sleep,Good work
14,4-5-2022 12:12:42,Artificial Intelligence,yes,0,mu,ja,male,fat,1999-02-22,0,yes,70,100,420,12:00:00,Good mental state.,A challenge.
15,4-5-2022 12:12:50,Other,yes,1,mu,ja,male,neither,2022-07-23,-4,unknown,over 9000,1000,42,00:00:00,6,9
17,4-5-2022 12:12:57,Artificial Intelligence,no,unknown,mu,ja,female,fat,1999-11-11,0,no,34,5,88,12:55:00,Having a fun lecture,Hanging out with my friends
